# id E_initial E_final active
         1    0.000000000000000E+00    0.000000000000000E+00 T
         2    0.000000000000000E+00    0.000000000000000E+00 T
         3    0.000000000000000E+00    0.000000000000000E+00 T
         4    0.000000000000000E+00    0.000000000000000E+00 T
         5    0.000000000000000E+00    0.000000000000000E+00 T
         6    0.000000000000000E+00    0.000000000000000E+00 T
         7    0.000000000000000E+00    0.000000000000000E+00 T
         8    0.000000000000000E+00    0.000000000000000E+00 T
         9    0.000000000000000E+00    0.000000000000000E+00 T
        10    0.000000000000000E+00    0.000000000000000E+00 T
        11    0.000000000000000E+00    0.000000000000000E+00 T
        12    0.000000000000000E+00    0.000000000000000E+00 T
        13    0.000000000000000E+00    0.000000000000000E+00 T
        14    0.000000000000000E+00    0.000000000000000E+00 T
        15    0.000000000000000E+00    0.000000000000000E+00 T
        16    0.000000000000000E+00    0.000000000000000E+00 T
        17    0.000000000000000E+00    0.000000000000000E+00 T
        18    0.000000000000000E+00    0.000000000000000E+00 T
        19    0.000000000000000E+00    0.000000000000000E+00 T
        20    0.000000000000000E+00    0.000000000000000E+00 T
        21    0.000000000000000E+00    0.000000000000000E+00 T
        22    0.000000000000000E+00    0.000000000000000E+00 T
        23    0.000000000000000E+00    0.000000000000000E+00 T
        24    0.000000000000000E+00    0.000000000000000E+00 T
        25    0.000000000000000E+00    0.000000000000000E+00 T
        26    0.000000000000000E+00    0.000000000000000E+00 T
        27    0.000000000000000E+00    0.000000000000000E+00 T
        28    0.000000000000000E+00    0.000000000000000E+00 T
        29    0.000000000000000E+00    0.000000000000000E+00 T
        30    0.000000000000000E+00    0.000000000000000E+00 T
        31    0.000000000000000E+00    0.000000000000000E+00 T
        32    0.000000000000000E+00    0.000000000000000E+00 T
        33    0.000000000000000E+00    0.000000000000000E+00 T
        34    0.000000000000000E+00    0.000000000000000E+00 T
        35    0.000000000000000E+00    0.000000000000000E+00 T
        36    0.000000000000000E+00    0.000000000000000E+00 T
        37    0.000000000000000E+00    0.000000000000000E+00 T
        38    0.000000000000000E+00    0.000000000000000E+00 T
        39    0.000000000000000E+00    0.000000000000000E+00 T
        40    0.000000000000000E+00    0.000000000000000E+00 T
        41    0.000000000000000E+00    0.000000000000000E+00 T
        42    0.000000000000000E+00    0.000000000000000E+00 T
        43    0.000000000000000E+00    0.000000000000000E+00 T
        44    0.000000000000000E+00    0.000000000000000E+00 T
        45    0.000000000000000E+00    0.000000000000000E+00 T
        46    0.000000000000000E+00    0.000000000000000E+00 T
        47    0.000000000000000E+00    0.000000000000000E+00 T
        48    0.000000000000000E+00    0.000000000000000E+00 T
        49    0.000000000000000E+00    0.000000000000000E+00 T
        50    0.000000000000000E+00    0.000000000000000E+00 T
        51    0.000000000000000E+00    0.000000000000000E+00 T
        52    0.000000000000000E+00    0.000000000000000E+00 T
        53    0.000000000000000E+00    0.000000000000000E+00 T
        54    0.000000000000000E+00    0.000000000000000E+00 T
        55    0.000000000000000E+00    0.000000000000000E+00 T
        56    0.000000000000000E+00    0.000000000000000E+00 T
        57    0.000000000000000E+00    0.000000000000000E+00 T
        58    0.000000000000000E+00    0.000000000000000E+00 T
        59    0.000000000000000E+00    0.000000000000000E+00 T
        60    0.000000000000000E+00    0.000000000000000E+00 T
        61    0.000000000000000E+00    0.000000000000000E+00 T
        62    0.000000000000000E+00    0.000000000000000E+00 T
        63    0.000000000000000E+00    0.000000000000000E+00 T
        64    0.000000000000000E+00    0.000000000000000E+00 T
        65    0.000000000000000E+00    0.000000000000000E+00 T
        66    0.000000000000000E+00    0.000000000000000E+00 T
